title,volume,year,floor,row,section,notes
(American) Phrenological Journal,,1839-1840,1st Floor,Row M,,
(La Presse)Medicale Belge,Vol.1-52,,2nd Floor,North Wall,,
(Philadelphia) University Journal of Medicine and Surgery,,1867-1891,1st Floor,Row L,,
(Plumber and) Sanitary Engineer (shelved under Sanitary Engineer),,,Compact Shelving,Range 3 Side A,,
1a Aas – 1b Zimmerman,,,7th Floor,Row W,,Starts South End
A. A. A. S. Bulletin,6-11,1961-66,7th Floor,Row Z,,
A.A.A.S. Bulletin,v1-5,1942-46,4th Floor,Row U,,
A.I.C.P. Notes,v1no.1,1895,4th Floor,Row V,,
A.M.M. (Asociacion Medica Mexicana," v1,no1-10;v2,no1-10",1923-24,4th Floor,Row Y,,
A.T. Still Research Institute Bulletin,1-5,,3rd Floor,Row K,,
Abbottempo,1-3,1963-65,7th Floor,Row Z,,
Abbotterapia,#160,1956,7th Floor,Row Z,,
Abdominal Imaging,19-22,1994-1997,7th Floor,Row Z,,
Abdominal Surgery,8-26,1966-84,7th Floor,Row Z,,
Abhandlungen aus dem Gebiet der Bader-und Klimaheilkunde,heft1-4,1938-41,4th Floor,Row U,,
Abhandlungen aus dem Gebiet der Geburtshilfe und Gynaekologie,v1-2,1909-13,4th Floor,Row U,,
Abhandlungen aus dem Gebiet der Geburtshilfe und Ihren Grenzgebieten,v1-7,1927-36,4th Floor,Row U,,
Abhandlungen aus dem Gebiet der Psychotherapie und Medizinischen Psychologie,v1-15,1925-31,4th Floor,Row U,,
Abhandlungen aus dem Gebiet der Sexualforschung,v1-6,1918-31,4th Floor,Row U,,
Abhandlungen Aus Dem Gebiete Der Augen Heilkunde,34-45,1967-78,7th Floor,Row Z,,
Abhandlungen aus dem Gebiete der Augenheilkunde Sammlung von Monographien,?,1976-1986,7th Floor,Row Z,,
Abhandlungen aus dem GesamtGebiete der Hygiene,v1-22,1928-36,4th Floor,Row U,,
Abhandlungen aus dem GesamtGebiete der Kriminalpsychologie,heft1-6,1912-29,4th Floor,Row U,,
Abhandlungen aus dem Grenzgebieten der Inneren Sekretion,v1-6,1923-30,4th Floor,Row U,,
Abhandlungen aus dem Juristisch-med. Grenzgebiete. Wien,no.1 ,1926,4th Floor,Row U,,
Abhandlungen aus dem Kaiser Wilhelm-Institut f. phys. Chemie u. Elektrochemie,bd14-21,1930-33,4th Floor,Row U,,
Abhandlungen aus der Augenheilkunde und Ihren Grenzgebieten,v1-27,1926-38,4th Floor,Row U,,
Abhandlungen aus der Kinderheilkunde und Ihren Grenzgebieten,heft1-45,1924-37,4th Floor,Row U,,
"Abhandlungen aus der Neurologie Psychiatrie, Psychologie und Ihren Grenzgebieten ",v1-87,1917-39,4th Floor,Row U,,
